,RequirementText,Class
739,Logout must be automatic after 1 hour of inactivity.,SE
740,Full data backups must be created daily.,SE
741,A user must be logged on to be able to view or edit any medical information.,F
742,Each account must securely store all of its data.,SE
743,Each account must have a separate identifying account number.,F
744,The system shall allow user to choose filling that they want.,F
745,The system shall allow user to choose their preferable topping.,F
746,The system shall allow user to decorate their doughnut.,F
747,The system shall give the user an opportunity for the user to choose the selection of doughnut provided.,F
748,The system should take the customer name.,F
749,The system should keep the customer contact number.,F
750,The system should keep the customer email.,F
751,The system should ask the user to key in the pickup date.,F
752,The system should require the user to state time when should the doughnut be delivered.,F
753,The system should have to keep the location where the doughnut will be send.,O
754,The website is available whenever the users want to use it.,A
755,The system use SSL (secured socket layer) in all transactions that include any confidential customer information.,SE
756,The system must automatically log out all customers after a period of inactivity.,SE
757,The system should not leave any cookies on the customer’s computer containing the user’s password.,SE
758,The system’s back-end servers shall only be accessible to authenticated administrators.,SE
759,Sensitive data will be encrypted before being sent over insecure connections like the internet.,SE
760,The system provides storage of all databases on redundant computers with automatic switchover.,O
761,The reliability of the overall program depends on the reliability of the separate components. The main pillar of reliability of the system is the backup of the database which is continuously maintained and updated to reflect the most recent changes.,FT
762,An end-user may use this system on any OS; either it is Windows or Linux.,PO
763,The logo and the current basic design of registration system should be displayed. The system should be attractive according to the clients. The design and the color should make users feel comfortable when using the system instead of flashing useless colors on the screen. The design should also reflect the seriousness of the environment.,LF
764,The system should be able to manage all the information incoming from the database and the catalogue.,O
765,The product is Web based therefore it will be used in any environment that allows Web access.,PO
766,For the system to successfully operate the registration system should be integrated with other IT services and the portal.,O
767,The system should need to be entirely self-supporting since the users would be using it only to register courses.,US
768,The Web interface should be compatible with standards in order to be usable via all major Web browsers in a wide variety of environments.,PO
769,Everyone (stakeholders and guests) can have access to the system and the catalogue. Every client must have secure and private access to his/her data. The  and the service man can have access to every part of the system. All these accesses (except the “guest tour” access) require identification through ID and password.,SE
770,The system will develop a security system that will reduce to the minimum the possibility of corruption from systems and/or humans.,SE
771,The Operational Interface shall have a Mean Time Between Failures of no less than 7 days.,FT
772,The system shall be available 99.5% of the time.,A
773,The software system needs a robust security mechanism in place so that unauthorized users are not allowed access to parts of the system.,SE
774,Each user shall either be trusted or not trusted.,SE
775,All source code and development related documents shall be controlled under a version control system.,MN
776,All source code shall adhere to an agreed upon and well-defined set of coding standards for each development language used.,MN
777,Since the software must run on several popular hardware platforms and the goal is to achieve a reasonable level of platform independence.,PO
778,High level of performance requires high speed network and high level of connectivity.,PE
779,The available server must be reliable and the network connectivity in the supermarket should be proper for smooth flow of all operations and data.,O
780,Every user of the software is provided a unique login ID and a password which is stored in the database hashed by SHA2 algorithm.,SE
781,The software is available for use from the supermarket opening time to the closing time.,A
782,The system shall accommodate high number of items and users without any fault.,FT
783,System use shall not cause any harm to human users.,SE
784,System will use secured database,SE
785,Normal users can just read information but they cannot edit or modify anything except their personal and some other information.,SE
786,System will have different types of users and every user has access constraints.,SE
787,Control the database and keep track of all records of customers and employee details.,F
788,Contact with the vendors and give permission to sell their product under the site after testing the product’s quality.,F
789,View the details of all employees and control the whole site.,F
790,Customers must have a valid login id to enter into the site.,SE
791,New users can sign up by creating new ID.,F
792,Can view all available products and can compare them and make a choice for purchasing products.,F
793,Can purchase any product through valid credit card.,F
794,Can give feedback to the 24X7 Customer Care Service center about their impression for the site and services.,F
795,Customer must logout of the site after purchasing products.,F
796,Can only visit the site without registration.,F
797,Vendors must take permission from the Administrator for selling their products under the site. Administrator will test product’s quality according to its market price to permit vendor for selling purpose.,F
798,Can consult with the Administrator regarding product’s quality and advertisements.,F
799,View the personal details of the customer.,F
800,Responsible for properly allocating the selected product according to the customer’s choice and delivering product to the customer.,F
801,Keep track of each product item’s stocks for selling purpose.,F
802,Responsible for informing administrator when any product item’s stock goes under the minimum level.,F
803,Taking permission from the Administrator for the product to be purchased from vendor.,F
804,Responsible for managing stocks of each product items.,F
805,Keep track of all the payment transactions made by the customers and update the payment information.,F
806,Responsible for contacting the banks for the validation of the a/c number provided by the customer while purchasing and make the transaction from the given a/c.,F
807,Consult with the Administrator about the payment details of the customers for the updating of the database.,F
808,Provide feasible solutions to the customers on their complaints and queries.,F
809,The system should require the user to state time when should the doughnut be delivered,F
810,The system is expected to have reasonable short time response. The voter should be able to login and should be able to get response for his requests in 2-3 seconds.,PE
811,The data transaction between client and server must be encrypted using SSL technology.,SE
812,All the passwords that are generated or accepted must be stored in database in an encrypted form.,SE
813,To prevent attacks the system should generate random word and ask the user to enter it correctly for multiple tryings.,SE
814,The system should warn ECA users about the malfunction of the system.,FT
815,The system should be simple to use,LF
816,The physician/pharmacist must have a valid user login to access the system.,F
817,A failed login will alert the physician/pharmacist.,F
818,A list of available patients is displayed after login.,F
819,An error message alerts when an invalid patient is entered.,F
820,Backspace/reset capability is implemented for typing errors.,F
821,Selected or specified patient’s information is loaded.,F
822,Return to List is available if the patient loaded is not correct.,F
823,Navigation to each selected tab.,F
824,The font will be larger enough for easy reading.,F
825,Icons will clearly illustrate the feature it represents.,F
826,Basic Patient information is showed first.,F
827,Customized information is displayed.,F
828,Each entry is shown in full.,F
829,The text and time/date of a note that has been entered is displayed starting with most recent.,F
830,New and Delete buttons will allow the physician/pharmacist to add a notation to the patient’s file.,F
831,A description and time/date of each prescription that has been ordered or given is displayed starting with most recent.,F
832,All users of the system shall login using some form of unique identification.,SE
833,All login attempts shall be done so in a secure manner.,SE
834,The system shall be compatible with the Microsoft Windows Operating System.,O
835,The system shall allow the administrator to remove equipment.,F
836,The system shall allow the administrator to install additional distributed location templates.,F
837,The system shall allow the administrator to remove physical locations.,F
838,The system shall allow administrators to define negotiation rules for the organization.,F
839,The system shall give the mediator privileges to schedule location and equipment resources.,F
840,The system shall allow the mediator to negotiate a meeting date.,F
841,The system shall allow the mediator to solve a date conflict.,F
842,The system shall allow the mediator to negotiate a location / equipment.,F
843,The system shall allow the mediator to solve a location conflict.,F
844,The system shall allow the mediator to send and receive messages from users.,F
845,The system shall allow the initiator to view the information of any meetings which they initiated.,F
846,The system shall allow the initiator to cancel any meetings which they initiated.,F
847,The system shall allow the initiator to send and receive messages from users.,F
848,The system shall authenticate users at the beginning each session.,F
849,The system shall allow the user to view their schedule.,F
850,The system shall notify the user of any schedule changes.,F
851,The system shall allow users to send and receive messages.,F
852,The system shall request a user response to initiator or mediator messages.,F
853,The system shall allow the user to modify the date preference set of an already submitted meeting response.,F
854,The system shall allow the user to modify the location preference set of an already submitted meeting response.,F
855,The system shall allow the user to modify the equipment requirement set of an already submitted meeting response.,F
856,The system shall allow the user to modify the date exclusion set of an already submitted meeting response.,F
857,The system shall allow the user to change the password.,F
858,The system shall allow the user to view past attended meetings.,F
859,The system shall allow the user to view pending meetings.,F
860,The system shall show the meetings to the user in ascending time order by default.,F
861,The system shall allow users to view equipment information.,F
862,The system shall allow users to view other users’ information.,F
863,The system shall allow user to specify custom meeting locations.,F
864,The system shall allow users to view location information.,F
865,The system shall allow users to search  for available distributed location templates(if any).,F
866,The system shall allow users to view information concerning the available distributed location templates(if any).,F
867,The web application shall add no more than 5 seconds of perceivable overhead time to any necessary web and database transaction time.,PE
868,The system shall utilize HTTPS communication to ensure data confidentiality.,SE
869,User authentication and privileges are defined outside the scope of the sytem by the Microsoft Active Directroy Server.,SE
870,Personal information security is defined outside the scope of the SDMS by the database server.,SE
871,Users shall be required to log into the system for all operations except the operations on the login page.,SE
872,The system shall run on Windows Server 2003.,PO
873,The system shall be compatible with IIS6.0 and above or  Apache 2.0 and above.,PO
874,The system shall display all the products that can be configured.,F
875,The system shall allow user to select the product to configure.,F
876,The system shall display all the available components of the product to configure.,F
877,The system shall enable user to add one or more component to the configuration.,F
878,The system shall notify the user about any conflict in the current configuration.,F
879,The system shall allow user to confirm the completion of current configuration.,F
880,The system shall display detailed information of the selected products.,F
881,The system shall provide browsing options to see product details.,F
882,The system shall display detailed product categorization to the user.,F
883,The system shall enable user to enter the search text on the screen.,F
884,The system shall enable user to select multiple options on the screen to search.,F
885,The system shall display all the matching products based on the search.,F
886,The system shall display only 10 matching result on the current screen.,F
887,The system shall enable user to navigate between the search results.,F
888,The system shall notify the user when no matching product is found on the search.,F
889,The system shall allow user to create profile and set his credential.,F
890,The system shall authenticate user credentials to view the profile.,F
891,The system shall allow user to update the profile information.,F
892,The system shall display both the active and completed order history in the customer profile.,F
893,The system shall allow user to select the order from the order history.,F
894,The system shall display the detailed information about the selected order.,F
895,The system shall display the most frequently searched items by the user in the profile.,F
896,The system shall allow user to register for newsletters and surveys in the profile.,F
897,The system shall allow user to select the support type he wants.,F
898,The system shall allow user to enter the customer and product information for the support.,F
899,The system shall display the customer support contact numbers on the screen.,F
900,The system shall allow user to enter the contact number for support personnel to call.,F
901,The system shall display the online help upon request.,F
902,The system shall display the FAQ’s upon request.,F
903,The system shall maintain customer email information as a required part of customer profile.,F
904,The system shall send an order confirmation to the user through email.,F
905,The system shall display detailed invoice for current order once it is confirmed.,F
906,The system shall optionally allow user to print the invoice.,F
907,The system shall provide shopping cart during online purchase.,F
908,The system shall allow user to add/remove products in the shopping cart.,F
909,The system shall display different shipping options provided by shipping department.,F
910,The system shall enable user to select the shipping method during payment process.,F
911,The system shall display the shipping charges.,F
912,The system shall display tentative duration for shipping.,F
913,The system shall allow user to enter the order information for tracking.,F
914,The system shall display the current tracking information about the order.,F
915,The system shall calculate tax for the order.,F
916,The system shall display tax information for the order.,F
917,The system shall display available payment methods for payment.,F
918,The system shall allow user to select the payment method for order.,F
919,The system shall display the orders that are eligible to change.,F
920,The system shall allow user to select the order to be changed.,F
921,The system shall allow user to cancel the order.,F
922,The system shall notify the user about any changes made to the order.,F
923,The system shall enable the user to enter their reviews and ratings.,F
924,The system shall display all the available financing options.,F
925,The system shall allow user to select the financing option.,F
926,The system shall notify the use about the financing request.,F
927,The system shall allow user to view detailed sitemap.,F
928,The system shall display all the available promotions to the user.,F
929,The system shall allow user to select available promotion.,F
930,The system shall allow user to confirm the purchase.,F
931,The system shall enable user to enter the payment information.,F
932,The system shall provide a uniform look and feel between all the web pages.,LF
933,The system shall provide a digital image for each product in the product catalog.,US
934,The system shall provide use of icons and toolbars.,US
935,The system shall provide handicap access.,US
936,The system shall provide multi language support.,US
937,The system shall provide a contractual agreement with an internet service provider for T3 access with 99.9999% availability.,A
938,The system shall provide a contractual agreement with an internet service provider who can provide 99.999% availability through their network facilities onto the internet.,A
939,The product shall be based on web and has to be run from a web server.,O
940,The product shall take initial load time depending on internet connection strength which also depends on the media from which the product is run.,PE
941,The performance shall depend upon hardware components of the client/customer.,PE
942,The system shall use secure sockets in all transactions that include any confidential customer information.,SE
943,The system shall automatically log out all customers after a period of inactivity.,SE
944,The system shall confirm all transactions with the customer’s web browser.,US
945,The system shall not leave any cookies on the customer’s computer containing the user’s password.,SE
946,The system shall not leave any cookies on the customer’s computer containing any of the user’s confidential information.,SE
947,The customer’s web browser shall never display a customer’s password.  It shall always be echoed with special characters representing typed characters.,SE
948,The customer’s web browser shall never display a customer’s credit card number after retrieving from the database.  It shall always be shown with just the last 4 digits of the credit card number.,SE
949,The system’s back-end servers shall never display a customer’s password.  The customer’s password may be reset but never shown.,SE
950,The system’s back-end databases shall be encrypted.,SE
951,The system shall allow the user to register for an account from any page in the system.,F
952,The system will use a single password per user to login to the E-Store System.,SE
953,The system shall use secure socket layer (SSL) technology to ensure all payments made online and user logins are secure.,SE
954,Any page of the application should not take more than 6 seconds to load on a DSL broadband connection.,PE
955,The system may be throttled or slowed down on heavy loads to ensure service for everybody. By throttling is meant that certain functionality may be unavailable during heavy server load.,PE
956,The application should be able to support 100 concurrent users without any performance degradation.,PE
957,The system should be able to scale up to 500 concurrent users (if there is a need in the future) by installing additional hardware components.,SC
958,The MTBF (if any) should not be less than 2 months.,A
959,A secure server will be required to ensure confidentiality of customer’s credit card and other details.,SE
960,The user interface of the system should be very user friendly.,US
961,It should not take more than 120 seconds for a new user to register for an account.,US
962,It should not take more than 90 seconds for a registered user to place an order.,US
963,The system should be easy enough to maintain that someone else could do it with a manual and a few hours training.,MN
964,The system should be portable to various operating environments.,PO
965,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,F
966,The entire website must be user-friendly and easily navigable. The website must be provided with a site map for quick access to a particular link according to the requirement specification. The user must be able to find what he/she wants from the site without any difficulty. The website must adhere to branding schemes and the layout of the web pages must be uniform throughout,US
967,The system shall support up to 10000 simultaneous users against the central database at any given time and up to 5000 simultaneous users against the local servers at any one time. The performance of the website must be optimal incase of huge loads and hence appropriate load balancing must be done to achieve this. There can be any number of mirror servers readily available in case of huge loads without the user getting any delay.,PE
968,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,SE
